Quarter,Consumption_BnEUR
1,805.2022762472089
2,811.6453814223211
3,818.4898509333837
4,825.6497315522861
5,833.1998949614052
6,841.0314128468693
7,849.1555047485867
8,857.6441486053471
9,866.3340751598904
10,875.3274987644692
11,884.481129503699
12,893.7695232730779
13,903.2090285279984
14,912.65700848693
15,922.1678536422727
16,931.6226084033426
17,941.0055548855213
18,950.2817867567027
19,959.416522113534
20,968.4218559035046
