Quarter,Inflation_pct,NomRate_pct,RealRate_pct
1,0.19692570900899284,0.8090777127026978,0.6121520036937049
2,0.39100082510417433,0.5934964509323822,0.20249562582820785
3,0.5804931472613253,0.4584335480641531,-0.12205959919717214
4,0.7608543500340048,0.3891931011141463,-0.3716612489198585
5,0.9244231890185854,0.3706652998887988,-0.5537578891297866
6,1.0613301762520717,0.38858728399508763,-0.672742892256984
7,1.1611756740533297,0.42703613503683335,-0.7341395390164963
8,1.2148159473464462,0.47057915277551415,-0.744236794570932
9,1.2156838903578244,0.5056406355857627,-0.7100432547720619
10,1.160390708332993,0.5183876783195334,-0.6420030300134596
11,1.048707799648726,0.49878332328584984,-0.5499244763628761
12,0.8832473654346893,0.43790844931619954,-0.44533891611848975
13,0.669177268423535,0.3298655986039638,-0.3393116698195711
14,0.41415348375597566,0.17238795100457013,-0.24176553275140553
15,0.1284291328519835,-0.03482804937762992,-0.16325718222961344
16,-0.17508388471769107,-0.2875531633788438,-0.11246927866115271
17,-0.4810797511659014,-0.5790688875285759,-0.0979891363626745
18,-0.7726312122353324,-0.8990487915950248,-0.12641757935969244
19,-1.0324485117503128,-1.2343642743469756,-0.2019157625966628
20,-1.2443980299617468,-1.5699769761464342,-0.3255789461846875
